Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Gini Coefficient,Long-term Unemployed,Long-term Unemployment Rate,Employed Workers,Net Worker Wealth,High Skill Workers,Medium Skill Workers,Low Skill Workers,Firm Owners
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0213612236461629,606494.489148059,532563.1451988379,0.4151613244586255,149236.85480116212,0.9838792686045484,8233432.959751194,5488.955306500796,1181,8.713428832061883,0,0.5612013830106479,0,0.0,1500,-8084196.104950032,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0215036783103948,606494.489148059,532563.1451988379,0.4157555852653342,149236.85480116212,0.9838792686045484,8261887.5974041335,5507.925064936089,1181,8.743430118385186,0,0.5612013830106479,0,0.0,1500,-8112650.742602971,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0227970736600969,606494.489148059,532563.1451988379,0.4163520446037287,149236.85480116212,0.9838792686045484,8290447.107236809,5526.9647381578725,1181,8.773541673395666,0,0.5612013830106479,0,0.0,1500,-8141210.252435647,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0232577957795657,606494.489148059,532563.1451988379,0.4169507110542976,149236.85480116212,0.9838792686045484,8319111.896963611,5546.074597975741,1181,8.803763924949644,0,0.5612013830106479,0,0.0,1500,-8169875.042162449,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0236636069505771,606494.489148059,532563.1451988379,0.41755159323246516,149236.85480116212,0.9838792686045484,8347882.375952616,5565.254917301744,1181,8.834097302636325,0,0.5612013830106479,0,0.0,1500,-8198645.521151454,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0248497100262324,606494.489148059,532563.1451988379,0.41815469978873837,149236.85480116212,0.9838792686045484,8376758.955232513,5584.505970155009,1181,8.864542237785049,0,0.5612013830106479,0,0.0,1500,-8227522.100431351,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0251974623394917,606494.489148059,532563.1451988379,0.4187600394088545,149236.85480116212,0.9838792686045484,8405742.04749957,5603.8280316663795,1181,8.895099163472581,0,0.5612013830106479,0,0.0,1500,-8256505.192698406,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0252090564630127,606494.489148059,532563.1451988379,0.41936762081392925,149236.85480116212,0.9838792686045484,8434832.067124616,5623.221378083078,1181,8.925768514530434,0,0.5612013830106479,0,0.0,1500,-8285595.212323454,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.026603383432027,606494.489148059,532563.1451988379,0.41997745276060594,149236.85480116212,0.9838792686045484,8464029.430160077,5642.686286773385,1181,8.956550727552196,0,0.5612013830106479,0,0.0,1500,-8314792.575358915,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.027824876051093,606494.489148059,532563.1451988379,0.4205895440412047,149236.85480116212,0.9838792686045484,8493334.554347012,5662.223036231341,1181,8.987446240900942,0,0.5612013830106479,0,0.0,1500,-8344097.69954585,198,323,979,59
