,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments
59,77871.58821409859,337943.635277694,243499.47805990864,0.581215302968898,0.552,1.021558904537641,134008.26116927963,13276615.78662625,0.6217333333333334,6718395.6060455525,0.3717361372100311,9185738.503446415,6123.825668964277,1043,0.0868616403842382,838,184631.0465944161
60,75280.13519707628,335965.96530165256,242950.76463181377,0.5803355611095649,0.5533333333333333,1.0228949825660387,134190.9564707295,13653812.945892373,0.6229333333333333,6839498.9211692745,0.3723498937174888,9192324.165309627,6128.216110206417,1041,0.08927147996632737,835,184802.56580385065
61,77130.67335776417,338459.6449973671,244047.85689231256,0.581039117778551,0.552,1.0225002262891665,136331.1475725532,14026526.545933906,0.6246666666666667,6957951.746143382,0.3719104513115986,9197998.424319517,6131.998949546344,1041,0.09154722444521057,843,184921.44962959466
62,76222.61896572131,339555.03638147365,244290.51508852284,0.581583666307892,0.55,1.0232339717232095,137641.01709615142,14369557.275026998,0.6238666666666667,7075490.126782797,0.3710947641495285,9202685.48970024,6135.12365980016,1038,0.09287061693550461,844,185062.52602486536
63,75150.55050660846,340546.8494061309,244582.16669205876,0.582003011364906,0.5493333333333333,1.0238248804057883,138244.71654848967,14725357.875943873,0.623,7193467.7398399105,0.3709204245365591,9207978.2562912,6138.6521708608,1036,0.09383779521830461,843,185129.3071136377
64,77796.84061998912,341286.7389011852,245289.3782695138,0.5818285622458571,0.5486666666666666,1.023681007134072,139655.09730499133,15100586.041062353,0.622601732309334,7312000.986852392,0.3710751287535856,9213298.787744418,6142.199191829612,1035,0.09202273182515328,844,185227.3124200121
65,77416.67159793737,340477.4097086734,244970.10628157615,0.5815677757770928,0.55,1.0247949743648914,141345.85886471634,15429194.538299162,0.6242666666666666,7432393.956652023,0.3714340678780082,9217955.039850505,6145.3033599003365,1032,0.09282394865530386,844,185347.33932958674
66,83847.17724118447,339720.2328713651,244455.122476355,0.5815381113932008,0.5506666666666666,1.0244772201417307,142456.13925568978,15779993.768508933,0.626,7552355.173561303,0.3713994918862386,9222538.74609835,6148.359164065567,1031,0.0926011579788379,846,185414.00664813715
67,89559.88015029348,337439.3331176109,243613.75876368154,0.5807375226678061,0.5526666666666666,1.0242563059895657,144135.0150258901,16150094.038039507,0.6255564662943878,7671771.183691225,0.372067925280392,9226663.523288317,6151.109015525544,1030,0.09323262331947624,848,185512.91456292992
68,89147.47791766818,337132.17471390957,243434.32374048958,0.5806951927323271,0.5533333333333333,1.0249501972222188,144354.49012851765,16527491.754915114,0.6277333333333334,7789583.053742163,0.3722570077399436,9230212.997405933,6153.475331603955,1027,0.09298823164162776,848,185600.06723614517
69,91696.36801212492,338361.324283367,243998.14864525234,0.5810179794651343,0.552,1.0248248286992527,145749.40457289707,16890309.470263664,0.628,7907470.037942802,0.3720457483814426,9233511.964854827,6155.674643236552,1026,0.09419435871916947,851,185633.72578038857
70,92140.68329308312,341121.13987160724,245238.5227981708,0.5817609252287831,0.5493333333333333,1.0261259656638566,146734.17093354653,17183101.45754754,0.6285333333333333,8025189.906413108,0.3712272145616962,9236938.770911386,6157.9591806075905,1023,0.09567489319547234,851,185706.28610918773
71,88696.45858200954,340965.85822826007,245088.0238073686,0.5817995045846848,0.5486666666666666,1.0257273364785988,147732.04608653052,17455689.018618047,0.6287333333333334,8145213.7762130145,0.37104344859569843,9240044.982150787,6160.029988100525,1022,0.09654112894600764,851,185743.38138578687
72,86643.35083248727,338747.8857997472,243997.20599079615,0.5812968492946203,0.5513333333333333,1.0255893127563505,147920.98033604282,17774517.184668265,0.6292,8265497.652709159,0.3716399263849189,9244052.934572613,6162.701956381742,1020,0.0942570002019743,852,185813.3807167478
73,91775.02279251559,338053.0522715718,243905.44222185368,0.5808885950978947,0.552,1.0269062100638986,150345.0995790714,18162738.136640225,0.6310186903214364,8385739.4454946965,0.3718341929045829,9247462.399646787,6164.974933097858,1020,0.09525307320910684,863,185880.20814200092
74,96575.79538410802,339789.8327643573,244847.77764323528,0.5811973549349068,0.5506666666666666,1.0281630276042648,152578.00387629188,18523133.85323346,0.6316666666666667,8505710.301303541,0.3717216589256567,9250745.755696598,6167.1638371310655,1020,0.09541129403276674,863,185973.33625775087
75,94150.99369584581,340345.606055701,244820.0170377528,0.5816226938562762,0.55,1.0283284516757558,153072.10784760717,18763626.990718886,0.6296666666666667,8626432.918761002,0.3713440714368724,9254852.918325752,6169.901945550501,1018,0.09556566002301395,861,186054.38822666102
76,95582.33755489849,341363.30965518643,245527.72331399514,0.5816468313175129,0.5493333333333333,1.0292002486213454,154253.59828715134,19050403.1901425,0.6318,8748516.99483641,0.3714852976602441,9259158.174062483,6172.772116041655,1016,0.09671643261376311,861,186106.06934254218
77,94906.97943607511,342278.60786641575,245439.63566591445,0.5823855421081328,0.5486666666666666,1.0292016555218464,155002.6558188906,19371813.313484967,0.6316666666666667,8871134.482351383,0.37087474389406794,9263421.54413408,6175.614362756053,1016,0.09725328280950357,860,186164.5443677233
78,92282.48046910008,341696.251809279,245468.1141855188,0.5819431007710478,0.5486666666666666,1.0288929671525946,154930.45650082585,19691288.951060217,0.6300937972705133,8993713.40726668,0.37116569236623526,9267957.454347562,6178.638302898375,1014,0.09747416684610252,862,186266.01145465826
79,90834.62591282993,341992.94065835216,245667.4576581923,0.5819567587641612,0.5486666666666666,1.0287961938690608,154240.58439518488,20002965.80580087,0.6314666666666667,9116527.285414575,0.37114930643731986,9273283.736903735,6182.189157935823,1013,0.09731845585178202,861,186330.43442003202
80,93791.55736140981,340876.0106788749,245013.51418265462,0.5818093620285127,0.55,1.028872341130668,155431.44285595365,20362357.757872805,0.6318,9240828.379748993,0.37142928271072967,9278342.334657256,6185.561556438171,1013,0.09733602283820192,864,186429.99524734114
81,94130.15603916266,341562.02766265033,245515.44161672288,0.581800606454735,0.5493333333333333,1.0284175169663086,155948.7576870788,20714349.096640743,0.6321160663968755,9364644.537539184,0.3714442430687753,9283726.245618595,6189.150830412396,1013,0.097350794159283,867,186550.47110377927
82,90431.62593609386,342076.9232060595,245775.92330009385,0.5819091040200973,0.5486666666666666,1.0279018153826944,155084.02495620117,21089234.93568455,0.6325999999999999,9489143.391377324,0.37124043713268795,9289087.767313939,6192.725178209293,1012,0.09821934254121571,866,186674.4180503705
83,88715.72348582998,342268.66957438155,245639.17064542056,0.5821808218213538,0.5486666666666666,1.0286943611112547,155171.6063697807,21470903.609657694,0.6316645999425935,9614021.978049185,0.3709874058046038,9294950.93969894,6196.633959799294,1011,0.09800736530326498,868,186772.9271409396
84,88846.87364687644,342041.33876235964,245804.887833906,0.5818551234781925,0.5486666666666666,1.0294839456631284,155513.91080789623,21830409.799413927,0.6328666666666667,9738914.998582663,0.37123441892102244,9300556.743655425,6200.37116243695,1010,0.09844441899152065,868,186881.28409464835
85,90885.35438030385,342335.9934387237,245867.5979824795,0.5820025556314264,0.5486666666666666,1.0304988754404771,155488.51547842845,22146364.037422102,0.6337514670595111,9864052.51567727,0.3712504513433465,9306066.103234515,6204.04406882301,1009,0.09822747979100516,865,186985.13388734235
86,92037.73163153017,342381.473808481,245827.4228343539,0.5820746264849131,0.5486666666666666,1.0314048894100971,156296.77886903138,22532074.611761644,0.6340666666666667,9989692.288552664,0.3711953612273843,9310959.7545483,6207.3065030322,1006,0.09868552351188624,869,187087.75496833777
