,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments,Gini Coefficient,Long-term Unemployed,Long-term Unemployment Rate,Employed Workers,Net Worker Wealth
12,118181.67401407596,320765.92179139546,214293.18786923058,0.5994962350885846,0.5833333333333334,1.0016061796075746,109906.84193774607,31158.39087322193,0.25185545826421246,960743.1046203115,0.35921823797241226,4225218.483050376,2816.812322033584,1250,0.05604865023225806,13,80258.28363979612,0,875,0.5833333333333334,625,-3264475.3784300652
13,117887.20918472813,324062.7500850607,215981.89444776007,0.6000665933191492,0.5793333333333334,1.0017209436856227,111419.59871734508,49158.062809884395,0.2536764279543416,1062471.3118633234,0.3586102494168192,4539485.964056894,3026.3239760379292,1257,0.057804574692165,22,86280.70417694836,0,867,0.578,631,-3477014.652193571
14,117544.76542879222,328532.16252900375,218460.590679392,0.6006152012106055,0.574,1.0018818370177844,112929.57632139619,75129.53085663375,0.260920264988147,1165577.0282881022,0.35811197616380247,4851541.378190437,3234.360918793625,1251,0.05800797829213938,32,92589.75379009286,0,857,0.5713333333333334,639,-3685964.349902335
15,117170.07181173131,331757.51600399916,219902.99687514824,0.6013798491259378,0.5706666666666667,1.001724246598315,113955.35917518834,109507.4689218919,0.26898338536822375,1270851.2953510135,0.35745968208485396,5160046.648050649,3440.0310987004327,1240,0.05847751459406284,43,98666.8112153925,0,850,0.5666666666666667,644,-3889195.3526996356
16,116445.48640512241,331771.8349272939,220029.44762132564,0.6012523809204109,0.57,1.0016741150859851,114395.40925758786,154906.72397692694,0.27776379662835154,1378340.2234976334,0.3574499966025999,5462861.6627126485,3641.907775141766,1234,0.05872546858647305,60,104653.23775777251,0,847,0.5646666666666667,645,-4084521.439215015
17,117807.27115236783,331925.7318367435,219928.73339013624,0.6014733099971954,0.57,1.0013960916449673,114693.00017698886,212229.71094995597,0.2906286307758647,1485850.921780787,0.3572915088108567,5760442.87852726,3840.295252351507,1228,0.058671692409238585,81,110660.57215534669,0,846,0.564,645,-4274591.956746474
18,118190.61772623187,331863.4176343973,219859.2259013406,0.6015040736911513,0.57,1.001760913662736,114857.7819222186,285539.0839393225,0.3002274749955446,1594727.4908675738,0.3572370482475095,6051294.237683625,4034.19615845575,1220,0.058259464658873036,103,116589.35964239232,0,844,0.5626666666666666,645,-4456566.746816051
19,120265.8017518956,330704.2210730864,219444.02291323768,0.6011183797967503,0.5713333333333334,1.001349968472554,115420.77486465385,374283.2934102049,0.31294359010504064,1704646.3651487227,0.3577015910072795,6334613.725661794,4223.075817107862,1218,0.058141032123112855,140,122373.78090008906,0,844,0.5626666666666666,643,-4629967.360513071
20,119170.83491161093,329544.69981972786,218935.10874275505,0.6008328742008486,0.5726666666666667,1.0018884680335338,114909.7481596744,478201.50122361485,0.32588491804249453,1814446.9665688719,0.35806271298726383,6610549.780595298,4407.033187063532,1211,0.05818676495154431,169,128137.76248517411,0,844,0.5626666666666666,641,-4796102.8140264265
21,122665.53714539792,331564.1252892452,220009.8652011115,0.6011235681988563,0.5706666666666667,1.002671044026952,116250.60982808981,605237.2450162624,0.3514634236324981,1924420.0240991693,0.35767492539216483,6871141.017816084,4580.760678544057,1204,0.05905923401862034,193,133651.69834757916,0,841,0.5606666666666666,644,-4946720.993716915
22,122083.81146294478,331564.1252892452,220009.8652011115,0.6011235681988563,0.5706666666666667,1.0027881126450808,116648.82472791668,751043.8643187783,0.36545267683978083,2035528.0832127326,0.35767492539216483,7118223.072641261,4745.482048427507,1201,0.059112717525331364,232,138853.69760078678,0,841,0.5606666666666666,644,-5082694.989428529
23,118989.73438434296,330199.00369517354,219302.898511437,0.6009060248366893,0.572,1.002545133886405,115693.81277656584,918347.260193613,0.38490612102183513,2147753.6614147285,0.35794252247238495,7350680.260997273,4900.4535073315155,1195,0.058704762844702794,270,143861.13929286346,0,841,0.5606666666666666,642,-5202926.5995825445
24,117701.43698753709,330079.51870252134,219108.80607883964,0.6010315656909317,0.5713333333333334,1.0032025469118224,116195.52906539403,1105068.2731493707,0.4011949277200141,2259712.327439669,0.3575351700023908,7570274.168653887,5046.849445769258,1192,0.05998839125331671,309,148507.35914211557,0,838,0.5586666666666666,643,-5310561.841214217
25,114474.79155645324,329040.84173081943,218749.78469989696,0.600668988943417,0.5726666666666667,1.003316827187853,115361.64305767408,1313059.5935837184,0.4190681654587022,2371508.694309784,0.3580589737318297,7773429.286066344,5182.286190710896,1186,0.05951895899379367,345,152956.16498412902,0,838,0.5586666666666666,641,-5401920.59175656
26,114342.54721260464,328107.3528168209,218409.03095574782,0.6003614211012599,0.574,1.003348965572423,115475.33484383787,1536869.4660711547,0.4314041141363676,2484165.9741266803,0.3585364340758336,7967777.5895614885,5311.851726374326,1181,0.05900875230838736,386,157017.19406754107,0,839,0.5593333333333333,639,-5483611.615434808
27,113829.56399481697,328349.3984685259,218586.55762063077,0.6003434128126718,0.5733333333333334,1.0028662530107726,115540.23343851072,1776933.9452282272,0.44767473579934686,2597342.118198395,0.35842170221420605,8151911.758946709,5434.607839297806,1174,0.06022799426081318,420,160916.38505471588,0,838,0.5586666666666666,640,-5554569.640748315
28,113573.43982282885,328943.9822555748,218590.41584030603,0.6007731813736608,0.5726666666666667,1.0031105293212954,115726.33013949354,2024038.822744561,0.4664609049106222,2710136.6360054254,0.35797973507254943,8315915.612125946,5543.943741417297,1172,0.061030857881117645,442,164571.57034303196,0,837,0.558,641,-5605778.97612052
29,109450.06095392421,329413.1884209002,218937.73594307437,0.6007342630141136,0.572,1.003965397433515,115120.05132534784,2303037.990128582,0.4877331878895199,2823875.175928313,0.3579326537751352,8461496.759306772,5640.9978395378475,1164,0.06203532674146807,487,167917.39586341774,0,836,0.5573333333333333,642,-5637621.583378459
30,113345.56792200172,330171.66480737936,219124.94839405915,0.6010808311434074,0.5713333333333334,1.0041806531496849,116080.46318813137,2600790.9199141455,0.5027416933359267,2938161.247895225,0.3576326078113469,8592018.698971232,5728.012465980822,1160,0.06310876966673111,520,170763.62504579342,0,835,0.5566666666666666,643,-5653857.4510760065
31,110086.77777534114,330856.647173079,219456.67987516487,0.6012150368004335,0.5706666666666667,1.0049006507419995,116041.43728575499,2927488.87810846,0.5236918444987861,3053318.4064895646,0.35744559896390476,8704074.608499922,5802.716405666614,1154,0.06339024294415925,564,173387.27002340453,0,834,0.556,644,-5650756.202010357
32,111140.45634289616,331122.440145429,219649.3705001891,0.6011971450704516,0.57,1.0055291815020084,116307.37266181628,3259640.442180213,0.5308900565725858,3169334.2779194727,0.3574088020276534,8804151.722187417,5869.434481458277,1150,0.06457959459738534,601,175595.53199527616,0,833,0.5553333333333333,645,-5634817.4442679435
33,106889.42335435342,330945.11924980266,219671.7117083453,0.6010443209189833,0.57,1.0055193287567323,115413.32373478403,3606333.688185918,0.541778008881324,3285578.3623279734,0.35748521282484447,8893159.743682185,5928.7731624547905,1142,0.06497206774718538,634,177601.5686238744,0,833,0.5553333333333333,645,-5607581.381354213
34,103921.6267430715,331278.99613740697,219662.64331484665,0.6012959856633177,0.57,1.006706312778074,115108.47089279881,3969693.624919035,0.5549245297159952,3402764.1312304544,0.35732132041297376,8970254.094478115,5980.169396318744,1137,0.06546410421703945,655,179303.8750932297,0,831,0.554,645,-5567489.963247661
35,101762.0570726508,330040.2076484972,219139.68251710365,0.6009692152947848,0.5713333333333334,1.0071480506040287,114715.23666397994,4342948.313764833,0.5604542766270155,3520534.0720929527,0.3576943919148928,9040425.250099225,6026.950166732817,1132,0.06502036252081507,682,180819.51475751912,0,831,0.554,643,-5519891.178006273
36,101604.39152715304,330685.73931905715,219177.0333561572,0.6013968498179858,0.5706666666666667,1.0070436231044242,115196.94001341179,4734276.971518511,0.5722143454231811,3638570.482818749,0.3571939112724731,9101065.721617168,6067.377147744779,1129,0.06540826019324864,702,182192.12413975084,0,830,0.5533333333333333,644,-5462495.238798419
37,100446.0867950527,329682.24670246994,218838.14066432617,0.6010391852254182,0.572,1.0067045829222347,114808.36088582528,5126953.683217047,0.579391478222147,3757689.581616265,0.3577066009139562,9155552.204081394,6103.701469387596,1128,0.06486127554335394,723,183409.3582117605,0,832,0.5546666666666666,642,-5397862.622465129
38,100174.61575996874,330294.5348270716,219245.91926133772,0.6010377077243056,0.5713333333333334,1.007516863589855,115110.7798185327,5535045.650855944,0.5877217134905786,3876865.208080315,0.3576415525742605,9203443.979298115,6135.629319532077,1123,0.0660508925382935,738,184536.95245682288,0,831,0.554,643,-5326578.7712178
39,99097.82419726999,330960.88525238016,219774.66436127148,0.6009433846871765,0.5706666666666667,1.0070033828784337,115325.4311621103,5949096.415208259,0.5908824953719323,3995898.8369191885,0.3577241450702087,9245147.553930338,6163.431702620225,1122,0.06778017150007018,755,185452.78329724376,0,828,0.552,644,-5249248.717011151
40,98899.54608366113,331395.01345567126,219905.01341909473,0.6011155401792704,0.57,1.006595984183468,115791.43566081938,6342426.390596622,0.5989794185359087,4115065.9700438236,0.35746429713671724,9281590.047966117,6187.726698644078,1116,0.06867372813672341,767,186322.01521374617,0,827,0.5513333333333333,645,-5166524.077922294
41,96097.62668434414,331587.3330044574,220008.21130185633,0.6011421528458165,0.57,1.007201714012798,115109.4109775725,6758243.975284937,0.6047679904468628,4234891.696629017,0.35750054401530373,9311655.747082004,6207.77049805467,1111,0.06923541632368738,782,186987.50292784942,0,827,0.5513333333333333,645,-5076764.050452989
42,93914.42546403765,331470.6211045525,220040.19200893593,0.601022886991598,0.57,1.007505676321564,115243.30189426422,7190638.959848281,0.6120110736200952,4355683.620881543,0.3575512121952185,9337090.823176708,6224.727215451138,1107,0.0694712122520456,800,187543.22820344445,0,827,0.5513333333333333,645,-4981407.202295166
43,94014.1204627848,331624.766318025,220130.9182465973,0.601035522777989,0.57,1.0088413180187115,115077.88829809896,7611364.960622696,0.6164000000000001,4477372.2121033175,0.35753844240763444,9359099.146419067,6239.399430946045,1101,0.0694472022610901,812,188025.20547462505,0,827,0.5513333333333333,645,-4881726.934315749
44,94868.81849524159,331624.766318025,220130.9182465973,0.601035522777989,0.57,1.0099591182271546,115299.69557439905,8039330.669906484,0.616484788728893,4599936.1081778845,0.35753844240763444,9379025.916521734,6252.683944347822,1097,0.06982882367696477,822,188391.66537967714,0,829,0.5526666666666666,645,-4779089.808343848
45,97138.54942180772,331624.766318025,220130.9182465973,0.601035522777989,0.57,1.0096570142931713,116197.6447154544,8485902.858007913,0.6210970286580417,4722752.323492561,0.35753844240763444,9394774.16763171,6263.18277842114,1097,0.0701720079824966,829,188753.68852642993,0,831,0.554,645,-4672021.84413915
46,96068.26922349315,331624.766318025,220130.9182465973,0.601035522777989,0.57,1.0109475484690482,115841.83759254547,8937680.305275721,0.6276666666666667,4845619.442224707,0.35753844240763444,9405972.602066537,6270.648401377692,1096,0.07052447123396043,837,189113.4771001339,0,833,0.5553333333333333,645,-4560353.159841829
47,98496.31089557578,331624.766318025,220130.9182465973,0.601035522777989,0.57,1.0119092246042465,116273.59698482946,9392424.10320065,0.6290666666666667,4968626.945017388,0.35753844240763444,9414403.023158815,6276.268682105877,1093,0.07086646093114506,852,189362.48333294384,0,835,0.5566666666666666,645,-4445776.078141427
48,95479.22182271979,331624.766318025,220130.9182465973,0.601035522777989,0.57,1.012141062727952,115765.78659230465,9848653.08236659,0.632,5091865.691997816,0.35753844240763444,9422020.384584328,6281.346923056219,1090,0.07121016376251069,860,189515.9527140915,0,837,0.558,645,-4330154.692586511
49,95490.89869183606,330694.539550442,219422.87652492535,0.6011344667283468,0.5713333333333334,1.0129314506968248,116083.07387707963,10307151.013363933,0.6338666666666667,5215543.912033236,0.35730292792879553,9427612.902884768,6285.075268589845,1087,0.07039058893948358,862,189654.9898567114,0,839,0.5593333333333333,643,-4212068.990851533
50,94015.5500113022,331534.7137006526,220174.03140937877,0.6009234340386107,0.57,1.0136550255256271,115803.76055039908,10768004.315547831,0.6363333333333333,5339441.384897455,0.35760311691489155,9432260.709954223,6288.173806636149,1086,0.07207725686390631,869,189753.90175472654,0,839,0.5593333333333333,645,-4092819.325056769
51,92754.92930595735,331534.7137006526,220174.03140937877,0.6009234340386107,0.57,1.0136447187635744,115652.65240645534,11228191.468782105,0.6372666666666666,5463932.601832513,0.35760311691489155,9437303.920548124,6291.535947032083,1085,0.07235099246303067,871,189871.81239908366,0,841,0.5606666666666666,645,-3973371.3187156115
