,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate
30,77474.87679713931,220492.0007983039,142246.58683721357,0.6078537225266366,0.15,1.010535723903189,79554.90492754693,544369.5532879481,0.27202758623359036,2408657.1583015053,0.3505797129212045
31,80523.98073823599,219865.48091408843,141635.21764151278,0.6082020914276924,0.154,1.0101987254759586,80717.7736550587,551012.076497052,0.27385912714509364,2498891.5663054106,0.35078441361371154
32,82834.75786749364,220375.10795204475,142113.0886424482,0.6079511278503041,0.152,1.0109387911602423,81193.53979144945,544273.5797169032,0.2745365279556627,2588812.037139232,0.3504542238458813
33,82771.86202567373,220905.02358488136,142531.74654463143,0.6078224377411251,0.15,1.011135593279308,81044.87440852902,548960.6659621454,0.271873420662567,2679700.0288628098,0.3505685758314416
34,78096.22602113956,221514.26597181198,142602.25512405383,0.6083609315642422,0.15,1.011443976723226,80299.85630782008,541903.7488728054,0.2659755516705897,2769893.3673707563,0.35041664150537666
35,79699.41345729504,221514.26597181198,142602.25512405383,0.6083609315642422,0.15,1.0115574673623218,80962.14982041629,555621.2239575927,0.26969050945397743,2860974.33413872,0.35041664150537666
36,78028.67750298584,221610.19942598132,142560.0282741933,0.6085346427836914,0.15,1.0115552086234436,81258.83317549303,578012.6898961528,0.2720990538496826,2952559.2526580486,0.35001753696233656
37,77567.99035628237,221187.52563522084,142584.0669641366,0.6080395779524965,0.15,1.0126034274650801,81295.1215202458,575580.7956313995,0.2667075982453878,3043610.6144168032,0.35041755721891793
38,76604.85066224737,221233.38545903424,142313.50144981066,0.6085415483546855,0.15,1.0121856104030797,81467.62117025231,590286.4673851893,0.26571614264109306,3133481.195607911,0.3499007725347349
39,76516.2455223616,221108.68871074473,142476.8786230794,0.6081338440690496,0.15,1.0119732358681326,81735.1267918465,581228.3778838381,0.2623351686840823,3223259.0646739434,0.3502966801527071
40,79948.0718150781,220267.2725148385,142255.38978502288,0.6075958703311186,0.154,1.0119674938233956,82398.39862117221,583976.2001871301,0.26363629077730716,3312522.2825845727,0.3506638756441542
41,75753.44829211502,220596.53759865693,142308.33628896592,0.6078632541787434,0.152,1.0122165245732178,81806.000238346,591651.668237916,0.27236488623494015,3402409.8678570283,0.35055095873934733
42,78410.83925391448,220191.7384312812,142097.21217577052,0.6077793376318205,0.15,1.0124518003467624,82621.48839179779,596611.594475667,0.2724417636649469,3493041.865075328,0.35009823666262263
43,76855.63024746833,219519.40399215886,141872.70582378676,0.6074272183306894,0.154,1.0135067797804087,82223.1499563602,586377.3277144486,0.26911180174005145,3582546.6616189587,0.3504671774516205
